Cumulative emissions of NOx from lightning
At top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
Lee T. Murray, 20th April 2009
Taken from Table 2, Ott et al., submitted to JGR, 2009


------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       0.0000       0.0000       0.0000       0.0000
       0.0032       0.0011       0.0105       0.0050
       0.0064       0.0021       0.0210       0.0100
       0.0096       0.0032       0.0315       0.0150
       0.0128       0.0043       0.0420       0.0200
       0.0159       0.0053       0.0525       0.0250
       0.0191       0.0064       0.0630       0.0300
       0.0223       0.0074       0.0735       0.0350
       0.0255       0.0085       0.0840       0.0400
       0.0287       0.0096       0.0945       0.0450
       0.0319       0.0106       0.1050       0.0500
       0.0351       0.0117       0.1155       0.0550
       0.0383       0.0128       0.1260       0.0600
       0.0415       0.0138       0.1365       0.0650
       0.0446       0.0149       0.1470       0.0700
       0.0478       0.0159       0.1575       0.0750
       0.0510       0.0170       0.1681       0.0800
       0.0542       0.0181       0.1786       0.0850
       0.0574       0.0191       0.1891       0.0900
       0.0606       0.0202       0.1996       0.0950
       0.0638       0.0213       0.2101       0.1000
       0.0670       0.0223       0.2206       0.1050
       0.0701       0.0234       0.2311       0.1100
       0.0733       0.0244       0.2416       0.1150
       0.0765       0.0255       0.2521       0.1200
       0.0797       0.0266       0.2626       0.1250
       0.0829       0.0276       0.2731       0.1300
       0.0861       0.0287       0.2836       0.1350
       0.0893       0.0298       0.2941       0.1400
       0.0925       0.0308       0.3046       0.1450
       0.0957       0.0319       0.3151       0.1500
       0.0988       0.0329       0.3256       0.1550
       0.1020       0.0340       0.3361       0.1601
       0.1052       0.0351       0.3466       0.1651
       0.1084       0.0361       0.3571       0.1701
       0.1116       0.0372       0.3676       0.1751
       0.1148       0.0383       0.3781       0.1801
       0.1180       0.0393       0.3886       0.1851
       0.1212       0.0404       0.3991       0.1901
       0.1244       0.0415       0.4096       0.1951
       0.1275       0.0425       0.4201       0.2001
       0.1307       0.0436       0.4306       0.2051
       0.1339       0.0446       0.4411       0.2101
       0.1371       0.0457       0.4516       0.2151
       0.1403       0.0468       0.4621       0.2201
       0.1435       0.0478       0.4726       0.2251
       0.1467       0.0489       0.4832       0.2301
       0.1499       0.0500       0.4937       0.2351
       0.1530       0.0510       0.5042       0.2401
       0.1562       0.0521       0.5147       0.2451
       0.1594       0.0531       0.5252       0.2501
       0.1626       0.0542       0.5357       0.2551
       0.1658       0.0553       0.5462       0.2601
       0.1690       0.0563       0.5567       0.2651
       0.1722       0.0574       0.5672       0.2701
       0.1754       0.0585       0.5777       0.2751
       0.1786       0.0595       0.5882       0.2801
       0.1817       0.0606       0.5987       0.2851
       0.1849       0.0616       0.6092       0.2901
       0.1881       0.0627       0.6197       0.2951
       0.1913       0.0638       0.6302       0.3001
       0.1945       0.0648       0.6407       0.3051
       0.1977       0.0659       0.6512       0.3101
       0.2009       0.0670       0.6617       0.3151
       0.2041       0.0680       0.6722       0.3201
       0.2073       0.0691       0.6827       0.3251
       0.2104       0.0701       0.6932       0.3301
       0.2136       0.0712       0.7037       0.3351
       0.2168       0.0723       0.7142       0.3401
       0.2200       0.0733       0.7247       0.3451
       0.2232       0.0744       0.7352       0.3501
       0.2264       0.0755       0.7457       0.3551
       0.2296       0.0765       0.7562       0.3601
       0.2328       0.0776       0.7667       0.3651
       0.2359       0.0786       0.7772       0.3701
       0.2391       0.0797       0.7877       0.3751
       0.2423       0.0808       0.7982       0.3801
       0.2455       0.0818       0.8088       0.3851
       0.2487       0.0829       0.8193       0.3901
       0.2519       0.0840       0.8298       0.3951
       0.2551       0.0850       0.8403       0.4001
       0.2583       0.0861       0.8508       0.4051
       0.2615       0.0872       0.8613       0.4101
       0.2646       0.0882       0.8718       0.4151
       0.2678       0.0893       0.8823       0.4201
       0.2710       0.0903       0.8928       0.4251
       0.2742       0.0914       0.9033       0.4301
       0.2774       0.0925       0.9138       0.4351
       0.2806       0.0935       0.9243       0.4401
       0.2838       0.0946       0.9348       0.4451
       0.2870       0.0957       0.9453       0.4501
       0.2902       0.0967       0.9558       0.4551
       0.2933       0.0978       0.9663       0.4601
       0.2965       0.0988       0.9768       0.4651
       0.2997       0.0999       0.9873       0.4701
       0.3029       0.1010       0.9978       0.4751
       0.3061       0.1020       1.0083       0.4802
       0.3093       0.1031       1.0188       0.4852
       0.3125       0.1042       1.0293       0.4902
       0.3157       0.1052       1.0398       0.4952
       0.3188       0.1063       1.0503       0.5002
       0.3220       0.1073       1.0608       0.5052
       0.3252       0.1084       1.0713       0.5102
