Cumulative emissions of NOx from lightning
t top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
O. A. Sovde, August 2011
Taken from Table 2, Pickering et al., JGR, 1998
 
 For subtropics I use midlatitude  
------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       0.0000       0.0000       0.0000       0.0000
       0.0307       0.0426       0.1065       0.1065
       0.0614       0.0852       0.2129       0.2129
       0.0922       0.1278       0.3194       0.3194
       0.1229       0.1704       0.4259       0.4259
       0.1536       0.2129       0.5323       0.5323
       0.1843       0.2555       0.6388       0.6388
       0.2150       0.2981       0.7452       0.7452
       0.2458       0.3407       0.8517       0.8517
       0.2765       0.3833       0.9582       0.9582
       0.3072       0.4259       1.0646       1.0646
       0.3379       0.4685       1.1711       1.1711
       0.3686       0.5111       1.2776       1.2776
       0.3994       0.5536       1.3840       1.3840
       0.4301       0.5962       1.4905       1.4905
       0.4608       0.6388       1.5970       1.5970
       0.4915       0.6814       1.7034       1.7034
       0.5223       0.7240       1.8099       1.8099
       0.5530       0.7666       1.9163       1.9163
       0.5837       0.8092       2.0228       2.0228
       0.6144       0.8518       2.1293       2.1293
       0.6451       0.8944       2.2357       2.2357
       0.6759       0.9369       2.3422       2.3422
       0.7066       0.9795       2.4487       2.4487
       0.7373       1.0221       2.5551       2.5551
       0.7680       1.0647       2.6616       2.6616
       0.7987       1.1073       2.7681       2.7681
       0.8295       1.1499       2.8745       2.8745
       0.8602       1.1925       2.9810       2.9810
       0.8909       1.2351       3.0874       3.0874
       0.9216       1.2776       3.1939       3.1939
       0.9523       1.3202       3.3004       3.3004
       0.9831       1.3628       3.4068       3.4068
       1.0138       1.4054       3.5133       3.5133
       1.0445       1.4480       3.6198       3.6198
       1.0752       1.4906       3.7262       3.7262
       1.1059       1.5332       3.8327       3.8327
       1.1367       1.5758       3.9392       3.9392
       1.1674       1.6184       4.0456       4.0456
       1.1981       1.6609       4.1521       4.1521
       1.2288       1.7035       4.2585       4.2585
       1.2596       1.7461       4.3650       4.3650
       1.2903       1.7887       4.4715       4.4715
       1.3210       1.8313       4.5779       4.5779
       1.3517       1.8739       4.6844       4.6844
       1.3824       1.9165       4.7909       4.7909
       1.4132       1.9591       4.8973       4.8973
       1.4439       2.0016       5.0038       5.0038
       1.4746       2.0442       5.1103       5.1103
       1.5053       2.0868       5.2167       5.2167
       1.5360       2.1294       5.3232       5.3232
       1.5668       2.1720       5.4296       5.4296
       1.5975       2.2146       5.5361       5.5361
       1.6282       2.2572       5.6426       5.6426
       1.6589       2.2998       5.7490       5.7490
       1.6896       2.3423       5.8555       5.8555
       1.7204       2.3849       5.9620       5.9620
       1.7511       2.4275       6.0684       6.0684
       1.7818       2.4701       6.1749       6.1749
       1.8125       2.5127       6.2813       6.2813
       1.8432       2.5553       6.3878       6.3878
       1.8740       2.5979       6.4943       6.4943
       1.9047       2.6405       6.6007       6.6007
       1.9354       2.6831       6.7072       6.7072
       1.9661       2.7256       6.8137       6.8137
       1.9969       2.7682       6.9201       6.9201
       2.0276       2.8108       7.0266       7.0266
       2.0583       2.8534       7.1331       7.1331
       2.0890       2.8960       7.2395       7.2395
       2.1197       2.9386       7.3460       7.3460
       2.1505       2.9812       7.4524       7.4524
       2.1812       3.0238       7.5589       7.5589
       2.2119       3.0663       7.6654       7.6654
       2.2426       3.1089       7.7718       7.7718
       2.2733       3.1515       7.8783       7.8783
       2.3041       3.1941       7.9848       7.9848
       2.3348       3.2367       8.0912       8.0912
       2.3655       3.2793       8.1977       8.1977
       2.3962       3.3219       8.3042       8.3042
       2.4269       3.3645       8.4106       8.4106
       2.4577       3.4071       8.5171       8.5171
       2.4884       3.4496       8.6235       8.6235
       2.5191       3.4922       8.7300       8.7300
       2.5498       3.5348       8.8365       8.8365
       2.5805       3.5774       8.9429       8.9429
       2.6113       3.6200       9.0494       9.0494
       2.6420       3.6626       9.1559       9.1559
       2.6727       3.7052       9.2623       9.2623
       2.7034       3.7478       9.3688       9.3688
       2.7342       3.7903       9.4753       9.4753
       2.7649       3.8329       9.5817       9.5817
       2.7956       3.8755       9.6882       9.6882
       2.8263       3.9181       9.7946       9.7946
       2.8570       3.9607       9.9011       9.9011
       2.8878       4.0033      10.0076      10.0076
       2.9185       4.0459      10.1140      10.1140
       2.9492       4.0885      10.2205      10.2205
       2.9799       4.1311      10.3270      10.3270
       3.0106       4.1736      10.4334      10.4334
       3.0414       4.2162      10.5399      10.5399
       3.0721       4.2588      10.6464      10.6464
       3.1028       4.3014      10.7528      10.7528
       3.1335       4.3440      10.8593      10.8593
